N°,PROYECTO,PROPIETARIO,ID POSTE,LAT,LON,STATUS,ID CAJA,ID CIERRE EMP,ACTIVE CLIENTS,CONECTED TO,FLEJE,HERRAJE,BRAZO,GAZA,RAQUETA,EMPALME,CAJA DISTRIBUCIÓN,REMATE,POTENCIA
11,ESTAPILLA COLIMA,CFE,PC011,18.976336,-103.530617,0,T1-H3-C01,N/A,0,PC010,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
12,ESTAPILLA COLIMA,CFE,PC012,18.97890388,-103.5328989,0,T1-H1-C03,N/A,0,PC004,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
13,ESTAPILLA COLIMA,H AYUN,PAE01,18.97939017,-103.53264,0,N/A,N/A,0,PC012,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
14,ESTAPILLA COLIMA,CFE,PC013,18.97977218,-103.5323127,0,T1-H1-C04,N/A,0,PAE01,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
15,ESTAPILLA COLIMA,CFE,PC014,18.97888301,-103.5329853,0,N/A,N/A,0,PC012,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
16,ESTAPILLA COLIMA,CFE,PC015,18.978214,-103.533371,0,T1-H1-C05,N/A,0,PC014,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
17,ESTAPILLA COLIMA,CFE,PC016,18.97716656,-103.5330193,0,N/A,N/A,0,PC006,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
18,ESTAPILLA COLIMA,CFE,PC017,18.97666989,-103.5332989,0,T1-H1-C07,N/A,0,PC016,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
19,ESTAPILLA COLIMA,CFE,PC018,18.9761683,-103.5336074,0,N/A,N/A,0,PC017,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
20,ESTAPILLA COLIMA,CFE,PC019,18.97561988,-103.5339541,0,T1-H1-C08,N/A,0,PC018,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
21,ESTAPILLA COLIMA,CFE,PC020,18.97543573,-103.5335189,0,T1-H1-C09,N/A,0,PC019,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
22,ESTAPILLA COLIMA,CFE,PC021,18.97490516,-103.5338369,0,N/A,N/A,0,PC020,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
23,ESTAPILLA COLIMA,CFE,PC022,18.97429396,-103.5342411,0,T1-H1-C10,N/A,0,PC021,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
24,ESTAPILLA COLIMA,CFE,PC023,18.97788942,-103.5318828,0,N/A,N/A,0,PC007,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
25,ESTAPILLA COLIMA,CFE,PC024,18.97829421,-103.5316211,0,T1-H2-C02,N/A,0,PC023,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
26,ESTAPILLA COLIMA,CFE,PC025,18.97878822,-103.5312861,0,N/A,N/A,0,PC024,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
27,ESTAPILLA COLIMA,CFE,PC026,18.97910278,-103.5310744,0,N/A,N/A,0,PC025,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
28,ESTAPILLA COLIMA,CFE,PC027,18.97942637,-103.5308626,0,T1-H2-C03,N/A,0,PC026,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
29,ESTAPILLA COLIMA,CFE,PC028,18.97983075,-103.5305836,0,N/A,N/A,0,PC027,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
30,ESTAPILLA COLIMA,CFE,PC029,18.97990159,-103.5304026,0,N/A,N/A,0,PC028,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
31,ESTAPILLA COLIMA,CFE,PC030,18.9795649,-103.5301016,0,N/A,N/A,0,PC029,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
32,ESTAPILLA COLIMA,CFE,PC031,18.979116,-103.529884,0,T1-H2-C04,N/A,0,PC030,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
33,ESTAPILLA COLIMA,CFE,PC032,18.97682874,-103.5325759,0,N/A,N/A,0,PC008,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
34,ESTAPILLA COLIMA,CFE,PC033,18.97644228,-103.5328357,0,T1-H2-C06,N/A,0,PC032,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
35,ESTAPILLA COLIMA,H AYUN,PAE02,18.97624063,-103.5324844,0,N/A,N/A,0,PC033,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
36,ESTAPILLA COLIMA,H AYUN,PAE03,18.97605905,-103.5321689,0,N/A,N/A,0,PAE02,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
37,ESTAPILLA COLIMA,H AYUN,PAE04,18.97586605,-103.5318156,0,T1-H2-C07,N/A,0,PAE03,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
38,ESTAPILLA COLIMA,H AYUN,PAE05,18.97568674,-103.5314785,0,N/A,N/A,0,PAE04,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
39,ESTAPILLA COLIMA,YI,PMN01,18.97550936,-103.5311248,0,T1-H2-C08,N/A,0,PAE05,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
40,ESTAPILLA COLIMA,H AYUN,PAE07,18.97499639,-103.5314839,0,N/A,N/A,0,PMN01,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
41,ESTAPILLA COLIMA,CFE,PC034,18.97468966,-103.5318986,0,T1-H2-C09,N/A,0,PAE07,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
42,ESTAPILLA COLIMA,CFE,PC035,18.97499454,-103.532573,0,T1-H2-C10,N/A,0,PC034,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
43,ESTAPILLA COLIMA,H AYUN,PAE08,18.97660782,-103.5303426,0,N/A,N/A,0,PC011,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
44,ESTAPILLA COLIMA,CFE,PC036,18.97700792,-103.530105,0,N/A,N/A,0,PAE08,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
45,ESTAPILLA COLIMA,CFE,PC037,18.97739445,-103.5298547,0,T1-H3-C02,N/A,0,PC036,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
46,ESTAPILLA COLIMA,CFE,PC038,18.97611952,-103.5301996,0,N/A,N/A,0,PC011,LISTO,N/A,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A
47,ESTAPILLA COLIMA,CFE,PC039,18.975903,-103.5297823,0,T1-H3-C03,N/A,0,PC038,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
48,ESTAPILLA COLIMA,CFE,PC040,18.975706,-103.529427,0,N/A,N/A,0,PC039,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
49,ESTAPILLA COLIMA,H AYUN,PAE09,18.97542921,-103.5289033,0,T1-H3-C10,N/A,0,PC040,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
50,ESTAPILLA COLIMA,CFE,PC041,18.9755525,-103.5300133,0,N/A,N/A,0,PC039,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
51,ESTAPILLA COLIMA,CFE,PC042,18.97508526,-103.5303403,0,T1-H3-C04,N/A,0,PC041,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
52,ESTAPILLA COLIMA,CFE,PC043,18.97466281,-103.5306194,0,N/A,N/A,0,PC042,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
53,ESTAPILLA COLIMA,CFE,PC044,18.97424052,-103.5309176,0,T1-H3-C05,N/A,0,PC043,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
54,ESTAPILLA COLIMA,CFE,PC045,18.97380911,-103.5312063,0,N/A,N/A,0,PC044,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
55,ESTAPILLA COLIMA,CFE,PC046,18.97349455,-103.531418,0,N/A,N/A,0,PC045,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
56,ESTAPILLA COLIMA,CFE,PC047,18.97308136,-103.5317255,0,T1-H3-C06,N/A,0,PC046,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
57,ESTAPILLA COLIMA,CFE,PC048,18.97626255,-103.5295417,0,N/A,N/A,0,PC039,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
58,ESTAPILLA COLIMA,CFE,PC049,18.97662198,-103.5292916,0,N/A,N/A,0,PC048,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
59,ESTAPILLA COLIMA,CFE,PC050,18.97696349,-103.5290607,0,T1-H3-C07,N/A,0,PC049,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
60,ESTAPILLA COLIMA,YI,PMN02,18.97738485,-103.5287837,0,T1-H3-C08,N/A,0,PC050,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
61,ESTAPILLA COLIMA,CFE,PC051,18.97750536,-103.5286999,0,N/A,N/A,0,PMN02,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
62,ESTAPILLA COLIMA,CFE,PC052,18.97785001,-103.5284824,0,N/A,N/A,0,PC051,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
63,ESTAPILLA COLIMA,CFE,PC053,18.97813394,-103.5282848,0,N/A,N/A,0,PC052,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
64,ESTAPILLA COLIMA,CFE,PC054,18.97863511,-103.5279348,0,T1-H3-C09,N/A,0,PC053,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
