N°,PROYECTO,PROPIETARIO,ID POSTE,LAT,LON,STATUS,ID CAJA,NO. PORTS,ID CIERRE EMP,ACTIVE CLIENTS,CONECTED TO,FLEJE,HERRAJE,BRAZO,GAZA,RAQUETA,CAJA DISTRIBUCIÓN,CIERRE DE EMPALME,REMATE,POTENCIA CALCULO,POTENCIA FISICA,CALIDAD - POTENCIA,Tag Pot
22,VILLA VICTORIA CHINICUILA,CFE,PC022,18.756762,-103.371123,0,T1-H1-C03,16,N/A,0,PC021,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-19.6,-16.55,20.85,Regular
23,VILLA VICTORIA CHINICUILA,CFE,PC023,18.756299,-103.371199,0,T1-H1-C05,16,N/A,0,PC022,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-19.6,-16.54,20.92,Regular
24,VILLA VICTORIA CHINICUILA,CFE,PC024,18.756811,-103.371539,0,N/A,N/A,N/A,0,PC022,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
25,VILLA VICTORIA CHINICUILA,CFE,PC025,18.756889,-103.372005,0,N/A,N/A,N/A,0,PC024,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
26,VILLA VICTORIA CHINICUILA,CFE,PC026,18.75678,-103.372344,0,N/A,N/A,N/A,0,PC025,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
27,VILLA VICTORIA CHINICUILA,CFE,PC027,18.756401,-103.372819,0,T1-H1-C04,16,N/A,0,PC026,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-20.8,-17.66,13.25,Bueno
28,VILLA VICTORIA CHINICUILA,CFE,PC028,18.757856,-103.373317,0,T1-H1-C07,8,N/A,0,PC013,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-21,-18.27,9.47,Muy bueno
29,VILLA VICTORIA CHINICUILA,CFE,PC029,18.756821,-103.372985,0,T1-H1-C08,8,N/A,0,PC013,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-20.4,-18.95,5.54,Excelente
30,VILLA VICTORIA CHINICUILA,CFE,PC030,18.757588,-103.369494,0,N/A,N/A,N/A,0,PC005,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
31,VILLA VICTORIA CHINICUILA,CFE,PC031,18.757277,-103.369513,0,T1-H2-C01,8,N/A,0,PC030,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-21.4,-18.92,5.71,Excelente
32,VILLA VICTORIA CHINICUILA,CFE,PC032,18.756933,-103.369541,0,N/A,N/A,N/A,0,PC031,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
33,VILLA VICTORIA CHINICUILA,CFE,PC033,18.756575,-103.369558,0,T1-H2-C05,8,N/A,0,PC032,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-21.1,-18.33,9.11,Muy bueno
34,VILLA VICTORIA CHINICUILA,CFE,PC034,18.755966,-103.369676,0,N/A,N/A,N/A,0,PC033,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
35,VILLA VICTORIA CHINICUILA,CFE,PC035,18.755877,-103.370222,0,T1-H2-C08,16,N/A,0,PC034,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-20.5,-17.48,14.42,Bueno
36,VILLA VICTORIA CHINICUILA,CFE,PC036,18.755026,-103.37033,0,N/A,N/A,N/A,0,PC035,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
37,VILLA VICTORIA CHINICUILA,CFE,PC037,18.754401,-103.369995,0,N/A,N/A,N/A,0,PC036,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
38,VILLA VICTORIA CHINICUILA,CFE,PC038,18.754294,-103.369722,0,N/A,N/A,N/A,0,PC037,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
39,VILLA VICTORIA CHINICUILA,CFE,PC039,18.754041,-103.369918,0,N/A,N/A,N/A,0,PC038,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
40,VILLA VICTORIA CHINICUILA,CFE,PC040,18.753585,-103.370263,0,T1-H2-C09,16,N/A,0,PC039,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-20.4,-16.55,20.85,Regular
41,VILLA VICTORIA CHINICUILA,CFE,PC041,18.753215,-103.37058,0,N/A,N/A,N/A,0,PC040,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
42,VILLA VICTORIA CHINICUILA,CFE,PC042,18.75295,-103.370353,0,N/A,N/A,N/A,0,PC041,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
43,VILLA VICTORIA CHINICUILA,CFE,PC043,18.752612,-103.370022,0,T1-H2-C10,16,N/A,0,PC042,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-20.4,-17.75,12.68,Bueno
44,VILLA VICTORIA CHINICUILA,CFE,PC044,18.757327,-103.369868,0,N/A,N/A,N/A,0,PC031,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
45,VILLA VICTORIA CHINICUILA,CFE,PC045,18.757369,-103.370133,0,N/A,N/A,N/A,0,PC044,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
46,VILLA VICTORIA CHINICUILA,CFE,PC046,18.757366,-103.370318,0,T1-H2-C02,8,N/A,0,PC045,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-20,-17.62,13.51,Bueno
47,VILLA VICTORIA CHINICUILA,CFE,PC047,18.757162,-103.36892,0,T1-H2-C03,8,N/A,0,PC031,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-21,-18.37,8.87,Muy bueno
