('COLI01-FIBR-TINA-XC22478', 'COLIMA', 'COLIMA', 'TINAJAS', 'Felipe Perez Arceo', 'TEPAMES CENTRAL', 'ONU', 'XC220_G3V', 'FIBRA', '10.0.48.239', '19.042666', '-103.5835', '478', 'LON', 'LOL-0', '478-COLI01-TEPAMES CENTRAL-FIBR-XC220_G3V-Felipe Perez Arceo-COLI-478')

[('COLI01-FIBR-COLI-ARIS000', 'COLIMA', 'COLIMA', 'COLIMA', 'OFICINA CENTRAL', 'CENTRAL', 'SWITCH', 'ARISTA 7050S_64_F', 'FIBRA', '10.0.10.0', '19.246546', '-103.709394', '000', 'L0', '-', '000-COLI01-CENTRAL-FIBR-ARISTA 7050S_64_F-OFICINA CENTRAL-COLI-000'),
["COLI01-FIBR-TEPA-CPE2024", "COLIMA", "COLIMA", "TEPAMES", "AP_SecundariaTepames", "TEPAMES CENTRAL", "APP", "CPE220", "FIBRA", "10.0.101.177", "19.10242687", "-103.6205264", "024", "LAPP", "LOL-000", "024-COLI01-TEPAMES CENTRAL-FIBR-CPE220-AP_SecundariaTepames-COLI-024"]

host,metric,latitude,longitude,afiliacion,ip,location
 43-VDA-T.VDA-VVU-AXIS-Q3708-PVE-F1-Torito-COL01-VVU-VILL-043,4,19.244713,-103.758133,COL01-VVU-VILL-007,10.21.50.27,VILLA
 03-VDA-T.VDA-VVU-AXIS-Q3708-PVE-F2-5 de Mayo Cuauhtemoc-COL01-VVU-VILL-003,5,19.253018,-103.712652,COL01-VVU-COLI-008,10.21.62.14,COLIMA
 07-VDA-T.VDA-VVU-AXIS-Q3708-PVE-F2-Gasolinera Escuela de Talentos-COL01-VVU-VILL-007,5,19.36344233,-103.8222651,COL01-VVU-COMA-008,10.21.80.22,COMALA
 11-VDA-T.VDA-VVU-AXIS-Q3708-PVE-F2-Comarca-COL01-VVU-VILL-011,5,19.21462,-103.809169,COL01-VVU-COQU-008,10.21.63.132,COQUIMATLAN
 15-VDA-T.VDA-VVU-AXIS-Q3708-PVE-F2-Libramiento a Nogueras-COL01-VVU-VILL-015,5,19.38675264,-103.5731949,COL01-VVU-CUAU-008,10.21.61.61,CUAUHTEMOC
 20-VDA-T.VDA-VVU-AXIS-Q3708-PVE-F2-Kiosko Tabachines-COL01-VVU-VILL-020,5,19.13044466,-104.3482119,COL01-VVU-MANZ-008,10.21.37.11,MANZANILLO
 24-VDA-T.VDA-VVU-AXIS-Q3708-PVE-F2-Kiosko Ninos Heroes-COL01-VVU-VILL-024,5,19.38629614,-104.0495021,COL01-VVU-MINA-008,10.21.75.26,MINATITLAN
 28-VDA-T.VDA-VVU-AXIS-Q3708-PVE-F2-Tercer Anillo Akolliman-COL01-VVU-VILL-028,4,18.92426953,-103.8830099,COL01-VVU-TECO-008,10.21.40.166,TECOMAN
 32-VDA-T.VDA-VVU-AXIS-Q3708-PVE-F2-Ex Hacienda del Carmen-COL01-VVU-VILL-032,5,19.266376,-103.770955,COL01-VVU-VILL-008,10.21.63.16,VILLA
 36-VDA-T.VDA-VVU-AXIS-Q3708-PVE-F2-Walmart VdeA-COL01-VVU-VILL-036,4,19.05789,-103.929,COL01-VVU-ARME-009,10.21.90.24,ARMERIA
